userID,predicted_artistID
838,182
729,1090
1131,1250
409,88
885,88
1261,34
516,1009
1549,755
1122,344
1455,517
426,288
116,1009
1310,221
1605,279
682,344
1622,6293
453,606
440,816
758,188
280,88
180,89
1035,906
1321,325
383,64
1313,906
1358,906
313,141
437,72
813,455
1471,88
470,88
1113,64
635,188
1577,412
555,189
1424,64
1282,453
1696,680
69,2446
1757,88
408,157
519,141
481,88
1432,187
604,88
1319,1814
875,2101
1082,3280
845,141
1572,88
1258,1009
1379,344
204,1090
1742,88
525,1104
1883,190
194,375
349,1009
1399,88
1428,1009
595,141
496,1009
256,758
1685,755
903,89
1811,64
1146,1009
614,366
1229,6293
1744,1303
104,81
1024,1672
47,88
938,1009
1533,412
882,64
254,646
1579,188
226,64
234,3032
1814,453
1588,6293
1649,498
1226,2101
886,1009
253,189
649,89
1445,189
59,141
515,2
1243,1481
529,1009
1587,607
73,62
1152,291
1867,646
1496,2
1817,755
728,190
814,72
756,182
1447,64
106,374
1027,718
503,88
852,1084
757,706
1747,34
325,316
1712,1672
1103,2
1877,81
1492,918
1650,1814
32,93
581,924
1002,1084
1717,88
645,455
1016,2787
1438,188
1422,498
1182,816
533,72
390,718
295,715
1080,399
1815,295
1599,1104
393,188
220,1009
344,755
195,188
482,1048
200,906
939,366
1626,680
133,88
401,64
1505,2
1613,3703
1683,81
1766,88
1473,918
1493,89
52,2702
1332,88
460,782
874,453
898,88
141,2
1454,2
1395,918
644,782
1351,524
128,2
1025,325
1834,706
1279,182
1023,88
1829,679
215,6293
1200,2
699,2
668,81
1597,188
173,455
394,6293
46,64
1078,1009
183,2
1085,1009
764,57
576,2
374,2
1638,782
267,344
82,2524
1675,72
1450,498
1224,1009
1465,924
1503,316
1702,325
35,1048
1429,859
1055,1009
1558,1009
1198,88
1653,2
331,1048
762,2
727,1090
208,715
71,222
655,1009
1522,1303
1489,88
1008,81
987,924
1456,606
863,182
627,141
294,2446
1244,190
1887,679
434,316
1289,182
1036,924
33,4324
1193,285
1618,6293
971,498
1295,1048
1028,498
744,64
763,1834
698,1009
1064,1009
346,229
563,932
1821,88
964,157
444,1090
185,1090
353,64
1881,2
718,1303
582,257
1768,88
1879,195
810,1090
306,2
1135,88
1093,141
290,88
376,141
1874,918
248,72
1803,370
1089,2
421,88
708,1009
366,816
1075,375
278,88
154,1009
1299,859
1632,72
1521,64
1435,412
792,366
1501,1090
178,7556
841,366
26,141
