userID,predicted_artistID,predicted_artist_name
838,182,Keane
729,1090,Franz Ferdinand
1131,1250,Alpha Quadrant
409,88,Gorillaz
885,88,Gorillaz
1261,34,Icon of Coil
516,1009,Tiësto
1549,755,65daysofstatic
1122,344,Taylor Swift
1455,517,Korn
426,288,Rihanna
116,1009,Tiësto
1310,221,Travis
1605,279,Brandy
682,344,Taylor Swift
1622,6293,Straylight Run
453,606,José González
440,816,A Day to Remember
758,188,Opeth
280,88,Gorillaz
180,89,Lady Gaga
1035,906,Girls Aloud
1321,325,Ashley Tisdale
383,64,Röyksopp
1313,906,Girls Aloud
1358,906,Girls Aloud
313,141,Aidan Baker
437,72,Depeche Mode
813,455,Backstreet Boys
1471,88,Gorillaz
470,88,Gorillaz
1113,64,Röyksopp
635,188,Opeth
1577,412,blink-182
555,189,Poets of the Fall
1424,64,Röyksopp
1282,453,Silverchair
1696,680,The Veronicas
69,2446,Howard Shore
1757,88,Gorillaz
408,157,Michael Jackson
519,141,Aidan Baker
481,88,Gorillaz
1432,187,a-ha
604,88,Gorillaz
1319,1814,Sex Pistols
875,2101,Capsule
1082,3280,Cocteau Twins
845,141,Aidan Baker
1572,88,Gorillaz
1258,1009,Tiësto
1379,344,Taylor Swift
204,1090,Franz Ferdinand
1742,88,Gorillaz
525,1104,Rammstein
1883,190,Muse
194,375,浜崎あゆみ
349,1009,Tiësto
1399,88,Gorillaz
1428,1009,Tiësto
595,141,Aidan Baker
496,1009,Tiësto
256,758,Психея
1685,755,65daysofstatic
903,89,Lady Gaga
1811,64,Röyksopp
1146,1009,Tiësto
614,366,Jack Johnson
1229,6293,Straylight Run
1744,1303,Assemblage 23
104,81,Portishead
1024,1672,Avenged Sevenfold
47,88,Gorillaz
938,1009,Tiësto
1533,412,blink-182
882,64,Röyksopp
254,646,RBD
1579,188,Opeth
226,64,Röyksopp
234,3032,Comeback Kid
1814,453,Silverchair
1588,6293,Straylight Run
1649,498,Paramore
1226,2101,Capsule
886,1009,Tiësto
253,189,Poets of the Fall
649,89,Lady Gaga
1445,189,Poets of the Fall
59,141,Aidan Baker
515,2,Diary of Dreams
1243,1481,Matt & Kim
529,1009,Tiësto
1587,607,Jethro Tull
73,62,Prefab Sprout
1152,291,Kelly Clarkson
1867,646,RBD
1496,2,Diary of Dreams
1817,755,65daysofstatic
728,190,Muse
814,72,Depeche Mode
756,182,Keane
1447,64,Röyksopp
106,374,宇多田ヒカル
1027,718,Johnny Cash
503,88,Gorillaz
852,1084,Provision
757,706,AC/DC
1747,34,Icon of Coil
325,316,Alanis Morissette
1712,1672,Avenged Sevenfold
1103,2,Diary of Dreams
